table,title,category,rows,columns,csv_file,description
SHELL_HISTORY,Shell history,Execution,914,6,SHELL_HISTORY.csv,"Every history file, in file order. bash/zsh timestamp markers are decoded rather than listed as commands."
EDITOR_HISTORY,Editor and pager history,Execution,287,7,EDITOR_HISTORY.csv,".viminfo, .lesshst, nano search history and .gdb_history - the files an attacker opened and the terms they searched for."
SUID_SGID,SUID and SGID binaries,Privilege,34,13,SUID_SGID.csv,"system/suid.txt and sgid.txt, cross-checked against the bodyfile for owner and timestamps and against hash_executables for the hash."
MAC_POLICY,Mandatory access control profiles,Privilege,17,7,MAC_POLICY.csv,"AppArmor profiles and SELinux policy config. mode is the one to read: 'complain' logs violations instead of blocking them, and a profile under disable/ is not loaded. Rule bodies are counted, not expanded."
BODYFILE,Filesystem timeline (bodyfile),Filesystem,26192,15,BODYFILE.csv,"Full mactime bodyfile, epochs rendered as UTC, with uid/gid resolved against /etc/passwd and /etc/group - a numeric owner that resolves to nothing is itself a lead."
FILE_HASHES,Executable hashes,Integrity,3259,10,FILE_HASHES.csv,"hash_executables.* merged by path - feed straight to VT. sha256 is kept when the profile produced it, and running_pids says whether the file is executing now."
PACKAGES,Installed packages,Software,1406,6,PACKAGES.csv,dpkg -l / rpm -qa as captured.
PACKAGE_HISTORY,Package install/removal history,Software,3700,9,PACKAGE_HISTORY.csv,dpkg.log lines plus apt transactions reassembled from their Start-Date/End-Date blocks. timestamp_utc normalises the host clock so package events sort against the rest of the timeline.
CHKROOTKIT,chkrootkit artifacts,Rootkit,2,3,CHKROOTKIT.csv,Whatever UAC's chkrootkit module collected.
JOURNAL,systemd journal entries,Logging,904601,15,JOURNAL.csv,"Binary .journal files decoded directly - this host has no syslog/auth.log, so the journal IS the log.  [86 file(s), 904601 entries, compression: lz4]"
LOGIN_RECORDS,Binary login records (wtmp/btmp/utmp),Authentication,6969,9,LOGIN_RECORDS.csv,utmp-format records decoded from the binaries themselves; btmp rows are failed logins.
LASTLOG,Last login per account,Authentication,2,6,LASTLOG.csv,lastlog is a flat array indexed by uid; only populated slots are listed. FOR577 rates lastlog and faillog as unreliable - corroborate anything here against LOGIN_RECORDS (wtmp/btmp) before relying on it.
WEB_LOG,HTTP server logs,Web,506803,20,WEB_LOG.csv,"Nginx/Apache/httpd access, error and ssl_* logs. Access lines are split into Common/Combined Log Format fields, error lines into level, module, message id, pid, client and the request the message names. CUPS also serves HTTP and writes both formats, so it lands here too - the server column says which daemon wrote the line."
WEB_CONFIG,Web server configuration,Web,792,7,WEB_CONFIG.csv,"Apache/nginx/lighttpd/PHP configuration. enabled marks files under a *-enabled/ or conf.d/ directory - the ones actually in force. directive/value split the line so DocumentRoot, Alias, LoadModule and ScriptAlias can be read as a column."
VAR_LOG,/var/log text entries,Logging,1186637,8,VAR_LOG.csv,All plain-text logs including .gz/.xz/.bz2 rotations. Syslog-format lines are split into columns; anything else is kept verbatim in message. timestamp_utc normalises every clock so logs from different daemons sort together.
APP_LOGS,Application logs outside /var/log,Logging,211901,6,APP_LOGS.csv,Logs an application wrote beside itself rather than into /var/log - tooling dropped into a home directory shows up here and nowhere else.
LOG_CONFIG,Logging configuration and rotation state,Logging,251,6,LOG_CONFIG.csv,"rsyslog/journald/logrotate/auditd plus the per-service config files that decide where application logs go, and logrotate's recorded last-rotation time for each log."
LOG_INVENTORY,/var/log inventory,Logging,159,7,LOG_INVENTORY.csv,Every log file collected - zero-length ones matter.
ETC_CONFIGS,Key /etc configuration files,Configuration,15604,3,ETC_CONFIGS.csv,"Resolver, hosts, PAM, auditd, firewall and login policy, plus the account-file backups (passwd-/shadow-/gshadow), the boot chain, udev/tmpfiles/cloud-init hooks, D-Bus and polkit authorisation, MAC policy and endpoint-agent configuration."
HACKTOOL_HITS,Known offensive tooling referenced,Detection,38,11,HACKTOOL_HITS.csv,"Well-known attacker tooling matched by name across the artifacts. Ambiguous names ('john', 'empire', 'beacon') are only matched in command lines and paths, never in free log text, because there they are just words. timestamp_utc is the source row's own time, where the table it came from carries one; count, first_utc and last_utc describe the tool across every table and repeat on each of its rows, matching the one finding raised per tool. They count every reference, not the twelve per table kept as samples."
HACKTOOL_VARIANTS,Offensive tooling per distinct reference,Detection,11,11,HACKTOOL_VARIANTS.csv,"HACKTOOL_HITS rolled up to one row per exact string a tool was named by, so two builds of one scanner read as two lines rather than thirteen near-identical ones. Every column but the last is scoped to that one string: count is how often it appeared across every table, first_utc and last_utc are its own window, tables carries the per-table split. tool_total is the only whole-tool figure, kept so a variant can be read against the tool it belongs to. Past 200 distinct strings for one tool in one table the tail folds into a single '(further distinct references, not itemised)' row - the count there is exact, the strings are not listed."
SIGMA_MATCHES,Sigma rule matches,Detection,756,13,SIGMA_MATCHES.csv,"Rows of the normalised tables that satisfied a Sigma rule given with --sigma. table names which artifact the row came from, so the hit can be traced back to it. timestamp_utc is the matched row's own time; count, first_utc and last_utc describe the rule against that table and repeat on each of its rows, matching the finding raised for the pair. A rule that hits the per-rule cap stops being evaluated, so its count and span are a floor - the '(further matches suppressed)' row is where that is said."
SIGMA_COVERAGE,Sigma rule coverage against this collection,Detection,407,10,SIGMA_COVERAGE.csv,"Every rule that loaded, and whether this collection could have triggered it. A rule marked not applicable produced no hits because there is nothing here for it to read - that is not the same as a clean result, and matters most when pointing this at a Windows Event Log ruleset such as Hayabusa's or Chainsaw's."
IOC_HITS,Indicator hits across the collection,Detection,26,9,IOC_HITS.csv,"Every artifact mentioning a term given with --pivot (or '@file' of them). Sort by indicator to follow one IOC across process, network, log and filesystem evidence; the same rows are the evidence on the matching Pivot finding. count, first_utc and last_utc describe the indicator as a whole and repeat on each of its rows, so the table sorts by how often and how recently a term was seen; they cover every hit, not the sample kept as evidence. A row's own time is not a separate column because the line it quotes already carries its stamp where the artifact recorded one. mitre is the technique implied by where the indicator was picked up, and is empty for a term supplied on the command line, which arrives with no such history."
RULE_ERRORS,Detection rules that failed to load,Detection,4,3,RULE_ERRORS.csv,"A rule listed here was NOT applied. These engines are subsets: anything they cannot represent faithfully is rejected rather than half-matched, because a rule that silently matches nothing looks like a clean result."
FINDINGS,Triage findings,Analysis,104,11,FINDINGS.csv,The findings produced by the analyzers.
TIMELINE,Normalised event timeline,Analysis,29774,5,TIMELINE.csv,"All dated events, every clock normalised to UTC."
IOCS,Extracted indicators,Analysis,2885,3,IOCS.csv,"Indicators the analyzers pulled out, with where they appeared."
COLLECTION_ERRORS,Commands that failed during collection,Collection,536,6,COLLECTION_ERRORS.csv,"Why an artifact is absent or empty: the stderr UAC saved for each command it ran. Identical messages are collapsed with a count - one walk of a filesystem it could not read produces thousands of the same line, and the count is the useful part. Read beside UNPARSED_FILES and LOG_INVENTORY."
UNPARSED_FILES,Files no extractor claimed,Collection,296,5,UNPARSED_FILES.csv,"Review these by hand; nothing here was silently dropped. Sort by reason: 'no extractor for this artifact' is the genuine residue, the other reasons are files that were classified rather than parsed. Under --scope live or --scope offline the other half of the collection is listed as out of scope, not as a parser gap."
FILE_INVENTORY,Every file in the collection,Collection,2155,7,FILE_INVENTORY.csv,"One row per collected file, with the table that parsed it. Under a narrowed --scope, parsed_into says so for the half that was not read - an empty cell always means 'offered to every extractor and taken by none'."
